,0
0,637243.155224
1,501992.625647
2,443015.908657
3,395325.898321
4,353758.346374
5,319236.777458
6,290219.572108
7,345670.122239
8,418006.747101
9,302645.483883
10,252175.455009
11,213507.317254
12,186898.651937
13,164963.044517
14,152319.392457
15,142533.132008
16,142500.059298
17,132672.329002
18,127035.957141
19,125302.38167
