,0
0,21.3607829499
1,10.6731577097
2,9.36613452004
3,8.83665709437
4,8.54931577667
5,8.36841985755
6,8.24372587553
7,8.15231363301
8,8.08223528623
9,8.02665106878
10,7.98138206808
11,7.94369554404
12,7.91175222505
13,7.88426310555
14,7.86029592984
15,7.83916472003
16,7.82034746073
17,7.80344539566
18,7.788144289
19,7.77419674283
20,7.76140179681
21,7.74959789635
22,7.73865128477
23,7.7284520988
24,7.71890778317
25,7.7099404133
26,7.7014842818
27,7.69348329344
28,7.68588918701
29,7.67866009439
30,7.67175972893
31,7.66515652465
32,7.65882288468
33,7.65273445621
34,7.64686988735
35,7.64120994985
36,7.63573766097
37,7.63043787317
38,7.62529720432
39,7.62030335486
