,0
0,1377.67117461
1,786.428955626
2,591.380821119
3,495.89964247
4,416.32927844
5,375.849584006
6,344.105387966
7,323.915352863
8,308.673418318
9,286.753854034
10,279.950135962
11,273.612836631
12,264.894644256
13,266.521067699
14,262.020730626
15,255.935809035
16,253.553769518
17,247.241125529
18,246.139551826
19,240.962988917
20,238.854453436
21,237.9381689
22,239.305130682
23,233.381574837
24,234.075263317
